# Logger type: CL3000
# HW rev: 7.2x
# FW rev: 5.78 / 4.00.03
# Logger ID: id001ezk
# Session No.: 15
# Split No.: 1
# Time: 20190425T172921
# Value separator: " "
# Time format: 5
# Time separator: ":"
# Time separator ms: ":"
# Date separator: "/"
# Time and date separator: " "
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp Type ID Data
04/25 17:29:21:570 1 11100024 000000187e378000
04/25 17:29:21:572 1 62401e 02144440fa156400
04/25 17:29:21:572 1 80401e 1e000367002a7a00
04/25 17:29:21:572 1 a20016 0019840000636400
04/25 17:29:21:573 1 f00006 000032000000e000
04/25 17:29:21:573 1 1400006 0000000003f30215
04/25 17:29:21:573 1 1600012 000005076e5dc81a
04/25 17:29:21:574 1 224024 1c48440013ff0000
04/25 17:29:21:574 1 e24026 0001e0408f000000
04/25 17:29:21:574 1 10004002 80000000c000c000
04/25 17:29:21:574 1 10e24000 0000000000000000
04/25 17:29:21:578 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:578 1 d00022 0000000000000000
04/25 17:29:21:580 1 42406c c08a80006000c00f
04/25 17:29:21:580 1 1000020 00000001cc04c000
04/25 17:29:21:581 1 11600002 f614636700000000
04/25 17:29:21:581 1 11800002 0000130900000000
04/25 17:29:21:582 1 62401e 02164440fa156400
04/25 17:29:21:582 1 80401e 05ff0364002a7a00
04/25 17:29:21:582 1 a20016 0319840000636400
04/25 17:29:21:583 1 f00006 000032000000e000
04/25 17:29:21:583 1 1400006 0000000003f30215
04/25 17:29:21:588 1 224024 1848440013ff0000
04/25 17:29:21:588 1 e24026 000160408f000000
04/25 17:29:21:588 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:588 1 d00022 0000000000000000
04/25 17:29:21:589 1 10004002 80000000c000c000
04/25 17:29:21:590 1 42406c 00e800006000c00f
04/25 17:29:21:590 1 1000020 00000001cc04c000
04/25 17:29:21:590 1 10400020 002947679b370db5
04/25 17:29:21:592 1 62401e 02164440fa156400
04/25 17:29:21:592 1 80401e 1dff0364002a7a00
04/25 17:29:21:593 1 a20016 0019840000636400
04/25 17:29:21:593 1 f00006 000032000000e000
04/25 17:29:21:593 1 1400006 0000000003f30215
04/25 17:29:21:593 1 1600012 400005076e5dc81a
04/25 17:29:21:594 1 10c00002 0000006000000000
04/25 17:29:21:598 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:598 1 d00022 0000000000000000
04/25 17:29:21:600 1 42406c 408840006000c00f
04/25 17:29:21:600 1 1000020 00000001cc04c000
04/25 17:29:21:602 1 224024 1c48440013ff0000
04/25 17:29:21:602 1 e24026 000160408f000000
04/25 17:29:21:602 1 10004002 80000000c000c000
04/25 17:29:21:602 1 62401e 02164440fa156400
04/25 17:29:21:603 1 80401e 05ff0361002a7a00
04/25 17:29:21:603 1 a20016 0519840000636400
04/25 17:29:21:603 1 f00006 000032000000e000
04/25 17:29:21:604 1 1400006 0000000003f30215
04/25 17:29:21:604 1 10800006 0080006f00000100
04/25 17:29:21:608 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:608 1 d00022 0000000000000000
04/25 17:29:21:609 1 11000022 01bbcc000055034a
04/25 17:29:21:610 1 42406c 80a800006000c00f
04/25 17:29:21:610 1 1000020 00000001cc04c000
04/25 17:29:21:612 1 62401e 02164440fa156400
04/25 17:29:21:612 1 80401e 1dff0361002a7a00
04/25 17:29:21:612 1 a20016 0099840000636400
04/25 17:29:21:613 1 f00006 000032000000e000
04/25 17:29:21:613 1 1400006 0000000003f30215
04/25 17:29:21:613 1 1600012 800005076e5dc81a
04/25 17:29:21:616 1 224024 1848440013ff0000
04/25 17:29:21:616 1 e24026 000160408f000000
04/25 17:29:21:616 1 10004002 80000000c000c000
04/25 17:29:21:618 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:618 1 d00022 0000000000000000
04/25 17:29:21:620 1 42406c c08800006000c00f
04/25 17:29:21:620 1 1000020 00000001cc04c000
04/25 17:29:21:620 1 10400020 402947679b370db5
04/25 17:29:21:621 1 11100024 0000001c7e378000
04/25 17:29:21:621 1 11220028 23600f3c0100342e
04/25 17:29:21:621 1 11a00020 40000041c2360000
04/25 17:29:21:622 1 62401e 02164440fa156400
04/25 17:29:21:622 1 80401e 05ff0361002a7a00
04/25 17:29:21:622 1 a20016 0119840000636400
04/25 17:29:21:623 1 f00006 000032000000e000
04/25 17:29:21:623 1 1400006 0000000003f30215
04/25 17:29:21:628 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:628 1 d00022 0000000000000000
04/25 17:29:21:630 1 224024 1c48440013ff0000
04/25 17:29:21:630 1 42406c 00aa00006000c00f
04/25 17:29:21:630 1 e24026 0001e0408f000000
04/25 17:29:21:630 1 1000020 00000001cc04c000
04/25 17:29:21:631 1 10004002 80000000c000c000
04/25 17:29:21:631 1 10e24000 0000000000000000
04/25 17:29:21:632 1 62401e 02164440fa156400
04/25 17:29:21:632 1 80401e 1dff0365002a7a00
04/25 17:29:21:633 1 a20016 0019840000636400
04/25 17:29:21:633 1 f00006 000032000000e000
04/25 17:29:21:633 1 1400006 0000000003f30215
04/25 17:29:21:634 1 1600012 c00005076e5dc81a
04/25 17:29:21:634 1 10c00002 0000102000000000
04/25 17:29:21:637 1 11420006 0000000f0000c000
04/25 17:29:21:638 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:638 1 d00022 0000000000000000
04/25 17:29:21:640 1 42406c 40c800006000c00f
04/25 17:29:21:640 1 1000020 00000001cc04c000
04/25 17:29:21:642 1 62401e 02164440fa156400
04/25 17:29:21:642 1 80401e 06000365002a7a00
04/25 17:29:21:642 1 a20016 0139840000636400
04/25 17:29:21:643 1 f00006 000032000000e000
04/25 17:29:21:643 1 1400006 0000000003f30215
04/25 17:29:21:644 1 224024 1848440013ff0000
04/25 17:29:21:644 1 e24026 000160408f000000
04/25 17:29:21:644 1 10004002 80000000c000c000
04/25 17:29:21:648 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:648 1 d00022 0000000000000000
04/25 17:29:21:650 1 42406c 80a800006000c00f
04/25 17:29:21:650 1 1000020 00000001cc04c000
04/25 17:29:21:650 1 10400020 802947679b370db5
04/25 17:29:21:651 1 10800006 0080007f00000100
04/25 17:29:21:652 1 62401e 02164440fa156400
04/25 17:29:21:652 1 80401e 1e000365002a7a00
04/25 17:29:21:652 1 a20016 0059840000636400
04/25 17:29:21:653 1 f00006 000032000000e000
04/25 17:29:21:653 1 1400006 0000000003f30215
04/25 17:29:21:653 1 1600012 000005076e5dc81a
04/25 17:29:21:658 1 224024 1c48440013ff0000
04/25 17:29:21:658 1 e24026 000160408f000000
04/25 17:29:21:658 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:658 1 d00022 0000000000000000
04/25 17:29:21:659 1 10004002 80000000c000c000
04/25 17:29:21:660 1 42406c c08800006000c00f
04/25 17:29:21:660 1 1000020 00000001cc04c000
04/25 17:29:21:662 1 62401e 02144440fa156400
04/25 17:29:21:662 1 80401e 0602036b002a7a00
04/25 17:29:21:662 1 a20016 0119840000636400
04/25 17:29:21:663 1 f00006 000032000000e000
04/25 17:29:21:663 1 1400006 0000000003f30215
04/25 17:29:21:668 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:668 1 d00022 0000000000000000
04/25 17:29:21:670 1 42406c 00aa00006000c00f
04/25 17:29:21:670 1 1000020 00000001cc04c000
04/25 17:29:21:670 1 11100024 000000087e378000
04/25 17:29:21:672 1 224024 1848440013ff0000
04/25 17:29:21:672 1 e24026 000160408f000000
04/25 17:29:21:672 1 62401e 02144440fa156400
04/25 17:29:21:672 1 80401e 1e02036b002a7a00
04/25 17:29:21:673 1 a20016 0019840000636400
04/25 17:29:21:673 1 f00006 000032000000e000
04/25 17:29:21:673 1 1400006 0000000003f30215
04/25 17:29:21:674 1 1600012 400005076e5dc81a
04/25 17:29:21:674 1 10004002 80000000c000c000
04/25 17:29:21:674 1 10c00002 0000006000000000
04/25 17:29:21:678 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:678 1 d00022 0000000000000000
04/25 17:29:21:679 1 11000022 01bbcc000055034a
04/25 17:29:21:679 1 11600002 c614636b00000000
04/25 17:29:21:679 1 11800002 0000100900000000
04/25 17:29:21:680 1 42406c 40c800006000c00f
04/25 17:29:21:680 1 1000020 00000001cc04c000
04/25 17:29:21:680 1 10400020 c02947679b370db5
04/25 17:29:21:681 1 11220028 23400f3c0100342e
04/25 17:29:21:682 1 62401e 02144440fa156400
04/25 17:29:21:682 1 80401e 0602036b002a7a00
04/25 17:29:21:682 1 a20016 0319840000636400
04/25 17:29:21:683 1 f00006 000032000000e000
04/25 17:29:21:683 1 1400006 0000000003f30215
04/25 17:29:21:686 1 224024 1c48440013ff0000
04/25 17:29:21:686 1 e24026 0001e0408f000000
04/25 17:29:21:686 1 10004002 80000000c000c000
04/25 17:29:21:686 1 10e24000 0000000000000000
04/25 17:29:21:688 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:688 1 d00022 0000000000000000
04/25 17:29:21:690 1 42406c 80a800006000c00f
04/25 17:29:21:690 1 1000020 00000001cc04c000
04/25 17:29:21:692 1 62401e 02124440fa156400
04/25 17:29:21:692 1 80401e 1e020371002a7a00
04/25 17:29:21:692 1 a20016 0019840000636400
04/25 17:29:21:693 1 f00006 000032000000e000
04/25 17:29:21:693 1 1400006 0000000003f30215
04/25 17:29:21:693 1 1600012 800005076e5dc81a
04/25 17:29:21:698 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:698 1 d00022 0000000000000000
04/25 17:29:21:700 1 224024 1848440013ff0000
04/25 17:29:21:700 1 42406c c08840006000c00f
04/25 17:29:21:700 1 e24026 000160408f000000
04/25 17:29:21:700 1 1000020 00000001cc04c000
04/25 17:29:21:701 1 10004002 80000000c000c000
04/25 17:29:21:701 1 10800006 0080006f00000100
04/25 17:29:21:702 1 62401e 02124440fa146400
